Drama Name	Episode Number	URL	Start Time	End Time	Urdu Sentence	English Sentence	Correct/Incorrect	Correct Translation
Siyah	5	https://www.youtube.com/watch?v=u8rF8HkCJ-E	29:25:00	29:28:00	???? ?? ?? ?? ??? ??? ??????	so that he can slaughter you himself.	1	so that he can slaughter you himself.
Ghair	8	https://www.youtube.com/watch?v=kBv7-z2UBGU	24:28:00	24:31:00	"?? ??? ??? ???? ?? ? ??? ??? ??? ???? ??? ???? ??"	"Helplessness ends, and so does the relationship"	1	"Helplessness ends, and so does the relationship"
Raqs e Bismil	17	https://www.youtube.com/watch?v=TwV-WaP6kCM	19:36	19:39	?? ?? ???? ?????? ???? ???!	Why did you do something so stupid!	1	Why did you do something so stupid!
Nand	76	https://www.youtube.com/watch?v=VLDFh8-4NPs	10:40	10:44	??? ???? ????????? ?? ??? ?? ?????? ?????? ???	Umar might get disturbed because of all the problems.	1	Umar might get disturbed because of all the problems.
Raqs e Bismil	25	https://www.youtube.com/watch?v=iDpbP92MPOk	34:25:00	34:28:00	???? ?? ???? ??? ???? ?? ??? ???? ???? ???	But she doesn’t seem the type to do something like that.	1	But she doesn’t seem the type to do something like that.
Raqs e Bismil	20	https://www.youtube.com/watch?v=TbdpebM2hKs	30:20:00	30:23:00	?? ??? ??? ???? ???? ??? ?? ?? ??? ??? ?? ???? ??? ????? ??? ????	Last night while crossing the road you had an accident with some car.	1	Last night while crossing the road you had an accident with some car.
Raqs e Bismil	21	https://www.youtube.com/watch?v=-ou-aFl_Y_o	23:56	24:01:00	??? ???? ??? ???? ??? ???? ????	may God never do such a thing.	1	may God never do such a thing.
Tark e Wafa	6	https://www.youtube.com/watch?v=YRpY6UDK9GU	39:27:00	39:31:00	?? ?? ???? ??? ????? ??? ??? ?? ????? ?? ???? ??? ?? ???? ?? ?? ???? ?? ??? ???? ????? ?? ??? ????? ?? ???? ???? ?????	Know about her. And both of you belong to same field so you can share so many things with each other.	1	Know about her. And both of you belong to same field so you can share so many things with each other.
Seerat e Mustaqeem	26	https://www.youtube.com/watch?v=Y4S8lTuOWsA	2:48	2:50	?? ?? ??? ?? ??? ???? ???? ???	Why you have to do home work	1	Why you have to do home work
Seerat e Mustaqeem (S3)	6	https://www.youtube.com/watch?v=lJC-sxWC0Xw	12:30	12:32	?? ????? ?? ?? ???? ?? ??? ??? ??? ?? ??? ??	This drama is doing yes to do all this	1	This drama is doing yes to do all this
Nand	83	https://www.youtube.com/watch?v=y6jPxlChl7c	7:00	7:11	"???? ???? ??? ?????? ???? ?? ??? ???? ???? ???? ??? ? ???? ??? ??? ????"	"My daughter was also upset. She didn't like too, but kids are kids."	1	"My daughter was also upset. She didn't like too, but kids are kids."
Ghair	28	https://www.youtube.com/watch?v=obZA8T_bzmw	18:27	18:38	?? ???? ??? ??? ??	you are lying	1	you are lying
Tark e Wafa	5	https://www.youtube.com/watch?v=DqSsgkfMMV0	11:58	11:59	"????? ? ??? ???? ????? ?? ?? ???? ?? ??????? ?? ??? ??? ??? ???? ???? ???? ?? ??????? ????"	"Actually, I don't want you to arrange a white tube light in the hall for the wedding reception"	1	"Actually, I don't want you to arrange a white tube light in the hall for the wedding reception"
Nand	62	https://www.youtube.com/watch?v=PUNfhYRCF88	10:46	10:50	"??? ??? ??? ??? ??? ?? ??? attitude ? ?? ?????? ???? ?????? ? ??? ??? ?? ????? ?? ??? ???? ?? ?????"	"And I can't tolerate anyone's attitude for no reason, and also can't cry on someone's misery."	1	"And I can't tolerate anyone's attitude for no reason, and also can't cry on someone's misery."
Nand	56	https://www.youtube.com/watch?v=bHbHXp_SgGM	4:59	6:10	??? ?? ???? ????? ?? ???? ??? ?????? ?? ?? ?? ?? ???? ????? ????????	I fought with my brother because he blamed you.	1	I fought with my brother because he blamed you.
Nand	57	https://www.youtube.com/watch?v=ocN7u3E0uKA	30:39:00	30:43:00	?? ???? ???? ?? ????	It's not possible Hasan.	1	It's not possible Hasan.
Nand	57	https://www.youtube.com/watch?v=ocN7u3E0uKA	36:32:00	36:39:00	"?????? ? ?????? ?? ???? ???"	"Anyways, hope for the best."	1	"Anyways, hope for the best."
Tark e Wafa	34	https://www.youtube.com/watch?v=zrI6S4Eu4cA	30:50:00	30:50:00	"??? ? ??? ????? ???? ??? ???? ???? ??? ?? ?? ???? ?? ??? ??? ???? ???? ?? ??? ???"	"yes, I know. I can see that you are being so caring towards Maryam"	1	"yes, I know. I can see that you are being so caring towards Maryam"
Nand	88	https://www.youtube.com/watch?v=lBIEopkSGbA	23:07	23:34	?? ?? ??? ???? ???? ?? ?????? ?? ?? ?? ?? ????? ??? ??? ???? ????	It will taste even better when you'll eat it from my hand	1	It will taste even better when you'll eat it from my hand
Nand	70	https://www.youtube.com/watch?v=I3_Y0nBZCkw	36:53:00	36:59:00	??? ??? ??? ????? ?? ?? ???? ??? ??? ??? ???	Both Hasan and Saqib are very happy about you	1	Both Hasan and Saqib are very happy about you
Raqs e Bismil	24	https://www.youtube.com/watch?v=uQGYQ2J8c8E	4:31	4:33	???? ??? ???? ??? ??? ??? ?????? ?? ????	Please don’t let me wander from door to door.	1	Please don’t let me wander from door to door.
Siyah	27	https://www.youtube.com/watch?v=X1n9W2bNIyM	15:39	15:42	"?? ??? ???? ??? ? ???"	"It was a gift, baby"	1	"It was a gift, baby"
Seerat e Mustaqeem (S3)	23	https://www.youtube.com/watch?v=bwRjtufqzqw	13:32	13:36	"??? ??? ?? ????? ?? ???? ? ?? ??? ???? ??"	"If I had permission, I am the power of what"	1	"If I had permission, I am the power of what"
Nand	86	https://www.youtube.com/watch?v=-AKBSbOgb_U	17:46	17:54	???? ????? ????? ???? ?? ???? ??? ???? ????? ?? ????	So that they don't get any clue about our location.	1	So that they don't get any clue about our location.
Nand	101	https://www.youtube.com/watch?v=xM2BS120Vlg	10:32	10:34	??? ???? ??? ???? ??	Umar there is nothing like that	1	Umar there is nothing like that
Nand	88	https://www.youtube.com/watch?v=lBIEopkSGbA	29:28:00	29:41:00	???? ?? ?? ???? ?? ???? ??? ???? ??? ????? ?? ??	Son your father has hurt me so much in the past	1	Son your father has hurt me so much in the past
Siyah	31	https://www.youtube.com/watch?v=O-VzntXHi4A	10:28	10:30	?? ?? ???? ??? ??? ???? ???	You will be buried here.	1	You will be buried here.
Tark e Wafa	28	https://www.youtube.com/watch?v=WldBzxPWb6A	11:16	11:20	???? ???? ?? ?? ?? ?? ???? ??? ????? ??? ???? ???? ?? ??? ?????? ?? ??? ???? ????? ??	I think she has learned to talk grandly as soon as she entered her new life	1	I think she has learned to talk grandly as soon as she entered her new life
Nand	94	https://www.youtube.com/watch?v=UjXIYsfChEw	30:07:00	30:10:00	"?? ????? ?? ??? ??? ?? ??????? ??? ? ?? ???? ??"	"Don't repeat this fact again and again Hasan, it's enough"	1	"Don't repeat this fact again and again Hasan, it's enough"
Ghair	15	https://www.youtube.com/watch?v=M-FVeEg4FsE	11:58	12:16	???? ?? ???? ???? ??? ???? ???? ???? ?? ???? ???? ?????? ???? ???? ????? ?? ?? ????? ?? ????? ??? ???? ?? ????? ???? ????? ???	Wafa didn't leave us capable of showing face anywhere. I don't know why this problem has seen the way to our house.	1	Wafa didn't leave us capable of showing face anywhere. I don't know why this problem has seen the way to our house.
Raqs e Bismil	18	https://www.youtube.com/watch?v=IF_ro_p4dng	18:35	18:36	???? ???? ??? ??? ????? ?? ???	for interrupting your rest	1	for interrupting your rest
Ramz e Ishq	28	https://www.youtube.com/watch?v=tu69e85e1p4	17:08	17:13	???? ??? ??? ?? ???? ????	Yes. Can I go?	1	Yes. Can I go?
Ghair	26	https://www.youtube.com/watch?v=lre7j3xSHmc	33:50:00	33:53:00	?? ???? ?????? ???? ?? ???? ????? ??? ??? ??	Which isn't questionable but is actually bad	1	Which isn't questionable but is actually bad
Siyah	9	https://www.youtube.com/watch?v=va95bc3nCV8	30:39:00	30:42:00	?? ??? ???? ???? ?????	Why have you brought him here?	1	Why have you brought him here?
Nand	54	https://www.youtube.com/watch?v=8hXraKRdtzM	19:39	19:43	?? ?? ?????? ?? ???? ???? ?????	You have to accept it bravely.	1	You have to accept it bravely.
Siyah	20	https://www.youtube.com/watch?v=gEhh3QgxI_Q	5:49	5:57	??? ?? ?? ?? ???? ?? ?? ??	Take this It is good that you	1	Take this It is good that you
Siyah	26	https://www.youtube.com/watch?v=92kALncn2Rg	12:47	12:55	"?? ??? ? ???????? ?? ???? ??? ???? ?????? ??? ?"	"You cannot imagine the cruelty, injustice,"	1	"You cannot imagine the cruelty, injustice,"
Nand	76	https://www.youtube.com/watch?v=VLDFh8-4NPs	8:34	8:38	????! ????? ??? ?? ?????	Enough! Don't talk much.	1	Enough! Don't talk much.
Siyah	25	https://www.youtube.com/watch?v=nANkHk63giY	4:08	4:14	??? ????? ??? ????? ??? ????? ??	I will chop you in three pieces man	1	I will chop you in three pieces man
Nand	95	https://www.youtube.com/watch?v=GwOSGAAaXCc	38:35:00	38:39:00	?? ???? ???? ?? ?? ?? ?? ???? ??? ?? ???? ????? ?????	How is it possible that we all have breakfast without our sister?	1	How is it possible that we all have breakfast without our sister?
Raqs e Bismil	2	https://www.youtube.com/watch?v=6oz5iOQ_pfw	2:37	2:40	???? ?? ?? ??? ????????? ??????? ?? ??…	But you’ve acting so disinterested…	1	But you’ve acting so disinterested…
Nand	88	https://www.youtube.com/watch?v=lBIEopkSGbA	33:49:00	33:52:00	??? ?? ?? ?? ????? ?????? ???? ???? ?? ???? ???? ?? ?? ?? ???? ??? ??????? ?? ???? ??? ???	You will cause a problem for yourself if you will try to create conflict between them.	1	You will cause a problem for yourself if you will try to create conflict between them.
Tark e Wafa	22	https://www.youtube.com/watch?v=TFBs-e8i7fg	24:18:00	24:24:00	"??? ?? ??? ? ??? ?? ?? ???? ???? ???? ??? ???? ???? ?? ? ??? ??? ???? ?? ??? ?? ???? ???? ????? ???"	"Don't worry, I will take care of that. Let me sleep, I will do something that he will never forget."	1	"Don't worry, I will take care of that. Let me sleep, I will do something that he will never forget."
Nand	86	https://www.youtube.com/watch?v=-AKBSbOgb_U	10:24	10:30	"??? ??? ?? ??? ?? ???? ?????? ??? ??? ??? ? ???? ??? ??? ??? ???? ?? ..."	"And I will take nice pictures of everyone. Also, aunt was saying that ..."	1	"And I will take nice pictures of everyone. Also, aunt was saying that ..."
Tark e Wafa	30	https://www.youtube.com/watch?v=D6H27r7vGQo	32:22:00	32:27:00	??? ?? ??? ?? ?? ?????? ??? ?? ?? ????? ???? ??? ?? ?? ???? ?????? ?? ????? ?? ???? ????? ????	Thanks God a millions times that we are not greedy that we keep any eye on our sister-in-law's things.	1	Thanks God a millions times that we are not greedy that we keep any eye on our sister-in-law's things.
Nand	78	https://www.youtube.com/watch?v=ty3F5oorbhI	34:15:00	34:21:00	?? ?? ???? ??? ?? ???? ???? ??? ???? ?? ?? ???? ?? ???? ??????	You left me with father just so that you could marry that man	1	You left me with father just so that you could marry that man
Seerat e Mustaqeem	3	https://www.youtube.com/watch?v=cdlbRTZ1b2w	5:20	5:33	?? ??? ????? ??? ??? ?? ??????? ??? ????? ?? ??????? ???? ??	Now in a bowl I accomplishment and maternal uncle	1	Now in a bowl I accomplishment and maternal uncle
Raqs e Bismil	2	https://www.youtube.com/watch?v=6oz5iOQ_pfw	4:50	4:52	?? ?? ??? ??? ???? ?????? ???? ??? ?? ?? ?? ?? ???? ????? ???? ????? ??? ??? ??…	You will remember all these cutting comments when you yourself bear a daughter…	1	You will remember all these cutting comments when you yourself bear a daughter…
Nand	111	https://www.youtube.com/watch?v=JGpbWPtm358	36:37:00	36:41:00	??? ??? ??? ?? ??? ???? ??? ?? ??? ???? ???? ???? ?? ????? ???? ??? ???? ??? ???? ????	I just pray to God that I can prove to me a good father in addition to being a good husband	1	I just pray to God that I can prove to me a good father in addition to being a good husband
Nand	70	https://www.youtube.com/watch?v=I3_Y0nBZCkw	15:53	16:01	?? ????? ??? ????? ???? ?? ??? ??? ????	You are precious to us. You are very important.	1	You are precious to us. You are very important.
Ramz e Ishq	19	https://www.youtube.com/watch?v=4tO33a-tBAc	17:47	18:04	"????? ? ?? ?? ??? ??? ???? ??? ?"	"Roshni, you had nothing,"	1	"Roshni, you had nothing,"
Nand	76	https://www.youtube.com/watch?v=VLDFh8-4NPs	4:29	4:34	"??? ? ?? ??? ???? ?????? ????? ?? ??? ?? ??? ????? ????? ???? ??? ?????? ???"	"Yes, he is from a reliable company. He's a trained guard. Lets see"	1	"Yes, he is from a reliable company. He's a trained guard. Lets see"
Nand	107	https://www.youtube.com/watch?v=zvrpwI9YGDc	15:15	15:18	??? ?? ??????? ??? ??? ???? ???? ???? ??!	And in this situation I won't go anywhere!	1	And in this situation I won't go anywhere!
Ghair	13	https://www.youtube.com/watch?v=iEqWnfiSDAI	14:26	14:29	???? ???? ??? ??? ???? ??? ??? ??? ???? ?? ??? ???? ??? ?????	I love my self respect. I can't lose it for Wafa.	1	I love my self respect. I can't lose it for Wafa.
Ramz e Ishq	27	https://www.youtube.com/watch?v=q5FZ8oUgWLY	27:11:00	27:15:00	?? ?? ?? ?? ??? ????? ???	You took the greatest decisions	1	You took the greatest decisions
Ghair	22	https://www.youtube.com/watch?v=tqs0R9TFSsI	27:54:00	27:58:00	?? ?? ????? ??? ??	your status is special	1	your status is special
Nand	69	https://www.youtube.com/watch?v=rX7rp-RHWYk	38:30:00	38:32:00	?? ??? ?? ???? ????? ???? ?????? ???! ???? ?? ????? ?? ??? ???? ????!	You can hate me as much as you want! Misbehave as much as you want!	1	You can hate me as much as you want! Misbehave as much as you want!
Siyah	9	https://www.youtube.com/watch?v=va95bc3nCV8	22:04	22:06	???? ??? ??? ?????? ???? ???	Please stop it. Okay?	1	Please stop it. Okay?
Nand	75	https://www.youtube.com/watch?v=QLsftCF_Nvo	37:56:00	38:02:00	"?? ?? ??? ???? ??? ? ??? ?? ?? ???? ??? ???? ???"	"You can say that, I'm crazy about you"	1	"You can say that, I'm crazy about you"
Nand	67	https://www.youtube.com/watch?v=Sxq0HA83hlM	16:23	16:27	"?? ?? ???? ???? ??? ??? ??? ??? ??? ?? ??? ?? ??? ?? ? ?? ?? ???? ???? ???? ???"	"She will dance in mental asylum now. Hassan has taken her, now she won't return back."	1	"She will dance in mental asylum now. Hassan has taken her, now she won't return back."
Nand	50	https://www.youtube.com/watch?v=WohzO4PqC5A	34:08:00	34:12:00	????? ?? ???? ?? ?? ???? ?? ??? ?????? ???? ???	Doctor didn't let us meet her or see her	1	Doctor didn't let us meet her or see her
Tark e Wafa	1	https://www.youtube.com/watch?v=lcX6kaafFiw	26:05:00	26:11:00	?? ?? ???? ????? ??	its a total manipulation	1	its a total manipulation
Raqs e Bismil	18	https://www.youtube.com/watch?v=IF_ro_p4dng	12:55	12:57	???? ????? ????? ???? ?? ????? ??!	My life’s over brother Saqib!	1	My life’s over brother Saqib!
Tark e Wafa	10	https://www.youtube.com/watch?v=arsxWTGl8K4	22:36	22:41	??? ?? ?? ???? ????? ?? ???? ?? ??? ??? ???? ?? ???? ???? ????? ????	I am accepting all your conditions but you are not doing that.	1	I am accepting all your conditions but you are not doing that.
Nand	70	https://www.youtube.com/watch?v=I3_Y0nBZCkw	24:23:00	24:28:00	?? ?? ?? ??? ??? ?? ?? ???? ???? ?? ???? ????? ????? ??? ?? ?? ?? ?? ?? ??? ????? ??? ????	So now you're feeling relaxed by getting a head massage from the same person who was strangling you to death till yesterday?	1	So now you're feeling relaxed by getting a head massage from the same person who was strangling you to death till yesterday?
Nand	110	https://www.youtube.com/watch?v=9ETapNi6Yw0	22:24	22:27	"????? ????? ??? ?????? ???? ?? ????? ? ???? ?? ?? ??? ????? ??? ?? ??? ???? ???? ??? ?? ?????? ???"	"Instead of interfering in our lives, even I want sister to go and manage her own house"	1	"Instead of interfering in our lives, even I want sister to go and manage her own house"
Nand	90	https://www.youtube.com/watch?v=4RCMx-BwXbU	15:47	15:51	"?? ??? ????? ? ???? ????? ?? ????? ???? ?? ?????? ??? ???? ??"	"Stop it now, don't say such things. My heart will stop beating"	1	"Stop it now, don't say such things. My heart will stop beating"
Tark e Wafa	5	https://www.youtube.com/watch?v=DqSsgkfMMV0	6:10	6:15	"??? ? ?? ?? ????? ?? ??? ??? ?????? ??? ???? ???"	"mom, don't think that I am so fool & crazy"	1	"mom, don't think that I am so fool & crazy"
Nand	79	https://www.youtube.com/watch?v=sfW5LTOJ2eg	24:23:00	24:29:00	"?? ?? ???? ? ???? ????? ?? ?? ?? ?? ???? ??? ?? ??? ???"	"Your daughter, I'm sorry that she lost her child"	1	"Your daughter, I'm sorry that she lost her child"
Nand	112	https://www.youtube.com/watch?v=pSIftbUESxY	27:17:00	27:28:00	??? ???? ?? ?? ?? ??? ?? ???? ??? ?? ??? ??? ???? ?? ???? ??? ?? ?? ???? ??? ???? ???? ???? ???? ??	I've already lost my baby because of her. Now bringing your baby to this world is my only objective	1	I've already lost my baby because of her. Now bringing your baby to this world is my only objective
Seerat e Mustaqeem (S3)	7	https://www.youtube.com/watch?v=uM63QyZ5WpU	8:45	8:49	??? ?? ?? ?? ???? ???? ????? ???? ???? ????	Should not be done but your father	1	Should not be done but your father
Seerat e Mustaqeem	8	https://www.youtube.com/watch?v=lo42YXJRz9Q	7:48	8:01	??? ????? ??? ?????? ???? ???? ???? ??	Loot Spot Work YouTube channel is with me	1	Loot Spot Work YouTube channel is with me
Raqs e Bismil	22	https://www.youtube.com/watch?v=AunrH6ehsYQ	21:33	21:35	???? ?? ???? ?? ??????? ?? ??? ?????? ???? ????	That was the best opportunity we had to trap that Moosa.	1	That was the best opportunity we had to trap that Moosa.
Nand	100	https://www.youtube.com/watch?v=b4XFZyuwEyQ	16:28	16:31	??? ?? ?? ????? ???? ??? ?? ?? ?? ?? ???? ???? ???	I do agree that you hate him	1	I do agree that you hate him
Nand	58	https://www.youtube.com/watch?v=FFrGcHwQLF4	1:27	1:30	"??? ??? ?? ??? ???? ?? ? ??? ?? ??? ????? ?? ?? ?? ???? ???? ??? ?????? ???"	"I will get up late, and when I'm awake, you will make me fresh juice."	1	"I will get up late, and when I'm awake, you will make me fresh juice."
Seerat e Mustaqeem S3	2	https://www.youtube.com/watch?v=_IIWPKxfowE	23:59	24:02:00	?? ???? ???? ???? ??	This is my mad son	1	This is my mad son
Nand	101	https://www.youtube.com/watch?v=xM2BS120Vlg	11:31	11:35	??? ????? ?? ?? ??? ???? ???? ?? ??? ????? ??	Stay happy. Your age is to be happy my love	1	Stay happy. Your age is to be happy my love
Nand	109	https://www.youtube.com/watch?v=FdGxE-Dt8QA	29:49:00	29:54:00	???? ?? ?? ??????? ?? ???? ??? ???? ????? ??? ???? ???? ?????	Don't teach me what I should and shouldn't do	1	Don't teach me what I should and shouldn't do
Nand	92	https://www.youtube.com/watch?v=u7p3JTgFb4I	12:31	12:38	?? ???? ???? ??? ???? ??? ??? ?? ??? ????	This girl would get me killed. What have I done?	1	This girl would get me killed. What have I done?
Raqs e Bismil	13	https://www.youtube.com/watch?v=EktTBxtainM	30:53:00	31:03:00	??? ?? ???? ?? ??? ?? ???? ????	This is what they call the effect of love.	1	This is what they call the effect of love.
Ramz e Ishq	28	https://www.youtube.com/watch?v=tu69e85e1p4	26:43:00	26:49:00	???? ?? ?? ???? ??? ???? ????	but you didn’t listen to me.	1	but you didn’t listen to me.
Nand	73	https://www.youtube.com/watch?v=a7hIM94PS2A	21:57	22:03	?? ?? ???? ??? ???? ???? ???	Your mind doesn't work.	1	Your mind doesn't work.
Siyah	36	https://www.youtube.com/watch?v=OLaTDdD7yJ8	16:44	16:47	??? ??? ?????? ?? ????? ??? ??	And true value of a performer is	1	And true value of a performer is
Ghair	13	https://www.youtube.com/watch?v=iEqWnfiSDAI	18:08	18:11	??? ????? ???  ??? ??? ???? ???? ???? ??? ??? ???? ??? ??????	Throw this.  Print one more print and put it in the file.	1	Throw this.  Print one more print and put it in the file.
Siyah	1	https://www.youtube.com/watch?v=eQTb-xwyv3Q	4:32	4:34	"?? ?? ??? ??? ???? ????? ?? ????? ??? ??? ? ???? ?? ????"	"You only need a ghost school. Yes, I got it."	1	"You only need a ghost school. Yes, I got it."
Nand	103	https://www.youtube.com/watch?v=nyaTtzWKhlw	1:56	2:10	?????? ?? ?? ?? ???? ???	May be you're right	1	May be you're right
Ghair	19	https://www.youtube.com/watch?v=KNJ9JTGX-q0	20:33	20:44	"??? ???? ???? ???? ???? ?? ? ?? ?? ?? ?? ?? ????? ???? ???"	"And I don't understand, how long will you be upset with him?"	1	"And I don't understand, how long will you be upset with him?"
Siyah	13	https://www.youtube.com/watch?v=dsnr32j_Yko	6:55	6:57	"?? ????? ?? ? ?? ??? ??"	"You know, she is fierce"	1	"You know, she is fierce"
Nand	53	https://www.youtube.com/watch?v=MEsHEnHl-HI	14:42	14:46	?????? ??? ????? ?? ??? ??? ?? ???? ?? ????? ???	Lets check again. We will find it with God's will.	1	Lets check again. We will find it with God's will.
Ramz e Ishq	20	https://www.youtube.com/watch?v=PoRSgZdcDRc	30:02:00	30:06:00	"???? ?? ? ??? ?? ??? ????? ?????? ?"	"Fine, make a joke out of me,"	1	"Fine, make a joke out of me,"
Raqs e Bismil	26	https://www.youtube.com/watch?v=fYiW07LFbms	5:30	5:31	???? ??? ???? ???? ???? ???? ???	But I will not go back there.	1	But I will not go back there.
Raqs e Bismil	22	https://www.youtube.com/watch?v=AunrH6ehsYQ	24:30:00	24:33:00	?? ?? ???? ?? ?????? ?? ??? ???? ?? ???? ???? ?? ??? ??? ?????? ?? ?? ??? ???? ??? ??? ???? ??	They will play this hide and seek game and getting jailed isn’t a big deal for them	1	They will play this hide and seek game and getting jailed isn’t a big deal for them
Nand	73	https://www.youtube.com/watch?v=a7hIM94PS2A	7:09	7:13	??? ?? ?????? ???? ???? ???? ??? ??? ?? ???? ?? ???? ????? ?????? ????	Many girls don't get married and they spend their lives happily.	1	Many girls don't get married and they spend their lives happily.
Ramz e Ishq	26	https://www.youtube.com/watch?v=7H_jVAS4dTs	28:30:00	28:34:00	?? ???? ??? ???? ???	That is not my child.	1	That is not my child.
Raqs e Bismil	6	https://www.youtube.com/watch?v=EJ1myhjdiw8	8:40	8:43	??? ?? ??? ??? ??? ???? ???? ?? ?? ??? ?? ???? ???? ????? ???? ???? ??!	Take him away and beat him so much that he forgets all his poetry by morning!	1	Take him away and beat him so much that he forgets all his poetry by morning!
Tark e Wafa	15	https://www.youtube.com/watch?v=nzai-RUYFPo	25:25:00	25:31:00	??? ??? ??? ??? ??? ????	what wrong I am saying?	1	what wrong I am saying?
Nand	56	https://www.youtube.com/watch?v=bHbHXp_SgGM	11:34	11:38	???? ??? ?? ?????? ?? ... ??? ?? ???? ?? ???? ?? ??? ???? ?????	I have faith in God ... Everything will be fine with God's will.	1	I have faith in God ... Everything will be fine with God's will.
Nand	65	https://www.youtube.com/watch?v=QciFYUmvhkw	34:47:00	34:51:00	"?? ?? ???? ??? ??? ? ??????? ?? ???? ??? ?? ????? ??"	"You did the right thing, Jahangir needs Umar right now"	1	"You did the right thing, Jahangir needs Umar right now"
Ramz e Ishq	29	https://www.youtube.com/watch?v=EbTlYrjRuMM	0:43	0:46	??? ?? ???? ?? ?? ?? ??? ??????? ??	I happily shopped for her	1	I happily shopped for her
Nand	62	https://www.youtube.com/watch?v=PUNfhYRCF88	21:28	21:31	"??? ?? ?? ???? ?? ??? ???? ?????? ????? ? ???? ??? ???? ?? ??? ?????"	"I don't want to even look at your face, please go away from here"	1	"I don't want to even look at your face, please go away from here"
Siyah	39	https://www.youtube.com/watch?v=u_BmEiyeBL4	11:21	11:26	"???? ???? ???? ?? ?? ?? ????? ??? ??? ?"	"I don’t think that all of this happened overnight,"	1	"I don’t think that all of this happened overnight,"
Ramz e Ishq	20	https://www.youtube.com/watch?v=PoRSgZdcDRc	32:46:00	32:49:00	"?????? ? ?? ?? ?? ???? ??? ?? ?"	"Anyway, you won’t get it,"	1	"Anyway, you won’t get it,"
Ghair	22	https://www.youtube.com/watch?v=tqs0R9TFSsI	37:57:00	38:02:00	"?? ???? ??? ? ???? ??? ?????? ?? ????? ??!"	"You are Saalis's companion to me, my daughter-in-law!"	1	"You are Saalis's companion to me, my daughter-in-law!"
Tark e Wafa	30	https://www.youtube.com/watch?v=D6H27r7vGQo	22:30	22:35	?? ???? ??? ?? ?? ???? ??? ??? ?? ??? ?? ??? ????	It's good. Now you have become daughter-in-law of such a big house.	1	It's good. Now you have become daughter-in-law of such a big house.
Ramz e Ishq	25	https://www.youtube.com/watch?v=-sTQhQH0FAM	0:45	0:48	"???? ???? ????? ?? ??? ????? ???? ?? ?"	"The whole house cares for Roshni,"	1	"The whole house cares for Roshni,"
Siyah	30	https://www.youtube.com/watch?v=vKFbJPVeBJE	34:33:00	34:35:00	?? ??? ??? ??? ??? ?????? ????	"we can be one, once again."	1	"we can be one, once again."
Tark e Wafa	1	https://www.youtube.com/watch?v=lcX6kaafFiw	30:28:00	30:33:00	"???? ?? ? ?? ?? ???? ?? ?? ?? ??????? ???? ???? ????? ????"	"Okay, means you don't want to hear the good news?"	1	"Okay, means you don't want to hear the good news?"
Seerat e Mustaqeem (S3)	20	https://www.youtube.com/watch?v=OMW8HJxYvuA	22:32	22:46	??? ????? ??? ?? ?? ???? ???? ???	I do not definitely do this that	1	I do not definitely do this that
Siyah	14	https://www.youtube.com/watch?v=SSow9J_n0IE	29:03:00	29:03:00	??? ??? ??? ??? ??? ????	kick him hard in the stomach	1	kick him hard in the stomach
Seerat e Mustaqeem (S3)	10	https://www.youtube.com/watch?v=HOUXO4yI7po	26:50:00	26:54:00	???? ?? ???? ??? ??	Such big days of children	1	Such big days of children
Ghair	23	https://www.youtube.com/watch?v=W-BWkOiJxbM	28:21:00	28:23:00	"?? ?? ???? ??? ???? ???? ?? ?? ??? ??? ??? ?? ? ???? ??? ?? ?? ??? ???? ????"	"no matter whatever the reason is, my duty is to fulfill it"	1	"no matter whatever the reason is, my duty is to fulfill it"
Nand	87	https://www.youtube.com/watch?v=AXFbAG6EtrQ	12:17	12:18	????! ?? ?? ??? ???? ?????? ?? ???? ??? ???	No! Your death is written from my hands.	1	No! Your death is written from my hands.
Ghair	14	https://www.youtube.com/watch?v=DsUNbfaeIXY	7:26	7:28	?? ????? ??? ???? ???? ??!	its not possible at all!	1	its not possible at all!
Nand	53	https://www.youtube.com/watch?v=MEsHEnHl-HI	2:58	3:01	?? ?? ?? ???? ???? ?? ???? ??? ??? ???	She is calling you with so much love.	1	She is calling you with so much love.
Siyah	13	https://www.youtube.com/watch?v=dsnr32j_Yko	4:22	4:22	"??? ? ?? ?? ????? ???"	"Come on, praise her"	1	"Come on, praise her"
Raqs e Bismil	6	https://www.youtube.com/watch?v=EJ1myhjdiw8	5:17	5:21	"?? ???? ????? ? ???? ?? ??? ???? ??? ??…"	"There you go, there’s that egoistic pride…"	1	"There you go, there’s that egoistic pride…"
Raqs e Bismil	17	https://www.youtube.com/watch?v=TwV-WaP6kCM	33:58:00	34:01:00	?? ?? ????? ?? ???? ??????? ??? ???? ???? ??!	You will end up humiliating us in the courts instead!	1	You will end up humiliating us in the courts instead!
Siyah	36	https://www.youtube.com/watch?v=OLaTDdD7yJ8	9:29	9:35	??? ?? ?? ???? ??? ?????? ????	I am such a huge fan of yours.	1	I am such a huge fan of yours.
Nand	81	https://www.youtube.com/watch?v=MKYyYA3lhac	31:56:00	32:02:00	"?? ????? ?? ??? ?? ?? ?? ??? ?? ???? ?? ??? ??? times ? ??? ????? ??? ?? ?? ?? ??? ??? ?"	"You know what Gul? We have spent countless good times with sister since we were kids,"	1	"You know what Gul? We have spent countless good times with sister since we were kids,"
